"_id","TimeStamp","PayloadDeviceType","PayloadString","Protocol"
"5df53178b29815eecf2942e7","2019-12-14T19:01:12.184Z",1,"46454d44473836393836373033303238353731343839393132373231373332303939353130373646312e3030312e303010496465611a80d4af414e9a37a6424519121419000005000000006e00296748","IP"
"5df53177b29815eecf2942e6","2019-12-14T19:01:11.973Z",1,"46454d44473836313335393033373439303032343839393132373231373232303736353738313846312e3030312e303010566f646114bffea0414e6bef944245191214190000040000000086002d0b6e","IP"
"5df53177b29815eecf2942e5","2019-12-14T19:01:11.775Z",1,"46454d44473836393836373033303336393639303839393132373231373332303939353037303646312e3030312e303010566f6461137a7fb3414eb52eb1424519121419000005000000006e0028f998","IP"
"5df53177b29815eecf2942e4","2019-12-14T19:01:11.598Z",1,"46454d44473836393836373033303337303832313839393132373231373332303939353332383846312e3030312e303010496465611aa465be414eec5da5424519121419000005000000006b00285f57","IP"
"5df53177b29815eecf2942e3","2019-12-14T19:01:11.185Z",1,"46454d44473836393836373033303238343339343839393132373231373332303939353132373446312e3030312e303010566f64610de8f9b0414ea88cb1424519121419000005000000006c00298947","IP"
"5df53176b29815eecf2942e2","2019-12-14T19:01:10.907Z",1,"46454d44473836393836373033303336383333383839393132373231373332303939353338363646312e3030312e303010496465610eee0eb5414e3d3e9b4245191214190000040000000071002829f6","IP"
"5df53176b29815eecf2942e1","2019-12-14T19:01:10.660Z",1,"46454d44473836393836373033303336373736393839393132373231373332303939353332333946312e3030312e3030104964656116a77cba414e61a69a424519121419000006000000007100295e1c","IP"
"5df53176b29815eecf2942e0","2019-12-14T19:01:10.343Z",1,"46454d44473836393836373033303336383035363839393132373231373332303939353333313246312e3030312e3030104964656117b9e0bd414e4399a5424519121419000004000000006e0028c6ad","IP"
"5df53175b29815eecf2942df","2019-12-14T19:01:09.788Z",1,"46454d44473836393836373033303337303534303839393132373231373332303939353039333846312e3030312e303010496465611a5bf4b1414e080298424519121419000004000000007000288d41","IP"
"5df53175b29815eecf2942de","2019-12-14T19:01:09.510Z",1,"46454d44473836393836373033303238333637373839393132373231373332303939353139363946312e3030312e30301049646561125788ba414e90eb9a424519121419000004000000006d00284f13","IP"
"5df53175b29815eecf2942dd","2019-12-14T19:01:09.331Z",1,"46454d44473836393836373033303238333431323839393132373231373332303939353137343646312e3030312e303010566f646115d458e0414e1fa4964245191214190000040000000070002913ab","IP"
